#Table1
ra,dec,deVRad_r,z
126.894869465832,55.4075849485158,5.363306,0.1390032
124.516111250853,54.6190091959088,9.896268,0.117513
124.541218642326,54.6067953066172,4.615275,0.114555
124.609310399124,54.6240151770685,2.381337,0.1180961
124.742225513397,54.3624503957338,2.221092,0.1205873
124.890960701788,54.4144116281714,5.232812,0.1182825
124.83299188791,54.4852811323358,1.784122,0.1186451
124.990256662902,54.4614871944027,1.259714,0.1555027
124.921733190208,54.5127079269111,1.617634,0.1553697
124.495967718499,54.6419113628838,1.44814,0.1157316
127.286577167639,54.6504077542915,1.611912,0.1381323
124.492290448837,54.7537867936125,1.659696,0.1174786
124.554478515842,54.6700397056704,9.557632,0.1184989
124.472505271128,54.7232230336336,7.941732,0.1223894
124.537162028184,54.6551356465078,1.624041,0.1171398
126.218769082725,55.205248303579,2.370332,0.2438592
126.519291776031,55.4414270291982,2.646899,0.1390703
124.693282271279,54.4811895217916,2.103661,0.117833
124.64776728087,54.4880657877813,8.044208,0.1172349
124.640898793088,54.4604529620188,2.194345,0.1193702
124.747353670973,54.5754955624479,3.15845,0.1050226
126.790784185219,55.3491122624685,1.769254,0.1444919
126.875024784897,55.3771613064601,1.37978,0.1383439
126.197570845071,54.4174716094496,1.418657,0.3599589
127.05805891111,54.9325653583524,9.475126,0.1213012
126.942705939859,55.1074443194501,1.142562,0.1396175
127.159197619778,55.1401565306601,4.255526,0.1151025
127.189404571416,55.1456910888895,2.300943,0.1384604
125.408309622082,54.3594152204336,2.239254,0.1536093
126.043961332598,54.8935382225666,1.637251,0.1164884
126.499114731733,55.1864989047968,2.362308,0.1168773
126.498204611819,55.2473604300356,5.551332,0.1395351
126.549547937051,54.4627875309988,5.1389,0.1851474
127.199061171354,54.8708530046235,1.825326,0.1396114
125.801309169348,54.5376099783752,4.432576,0.1403432
126.775801083795,55.2381808081028,2.70944,0.1439741
126.707770700068,55.2351180880287,2.02823,0.3636187
126.955350192724,55.2407208381097,4.22356,0.1392869
126.845855799146,55.2918941733127,6.375991,0.139189
126.950948063785,55.2597921230631,3.793972,0.140166
126.905948392502,55.3130226853901,6.666387,0.1405349
126.613115226466,54.7949443739384,6.822939,0.1417261
126.779001461842,54.843978029619,2.185997,0.1859951
126.978548225195,54.8264630527248,5.143084,0.2076192
126.789361016375,54.9621931416894,4.205879,0.2639861
127.080455210704,54.9877945427927,5.390248,0.1389227
127.150431140702,55.0300126685118,9.893309,0.1106585
125.880434488927,55.6191364415118,5.394275,0.125862
127.138607920343,54.703217880223,1.212823,0.3344883
126.966251310302,54.7800030674123,3.68611,0.1364959
127.220508955297,54.8442175120708,4.106515,0.1405747
127.009992586689,54.7873755681963,8.099016,0.1403996
127.31245188902,54.9423478538054,1.596464,0.1397242
126.181284372932,54.6986290723624,1.778521,0.1984129
126.286571941757,54.9524508501473,2.636048,0.1165085
126.492642204069,54.9771941944276,1.406335,0.2371739
126.329689819744,54.9543556783046,6.939398,0.1169095
126.525401059795,54.9424859277098,1.378575,0.3618554
126.772948440287,54.9964278672045,5.441294,0.1388909
125.740971248555,55.1781755919611,1.382405,0.1851262
126.360235899945,55.5424990288056,2.930103,0.1057197
125.200140904846,55.4164333237492,2.20292,0.1054476
125.129381035854,55.4384520660529,3.890505,0.1358235
125.245772421476,55.3946215320086,3.128179,0.1839526
125.336430591243,55.3947670135465,7.286183,0.1848133
125.344167502232,55.5237896573029,3.023481,0.1844662
125.293506054172,55.5284454169595,1.431155,0.183643
125.42503640817,55.5954710268885,3.212659,0.1062216
125.581817760292,55.4897097175824,1.423672,0.2389031
125.637841093734,55.6407016135065,1.218935,0.2784259
126.136341095355,54.3966277364337,2.060773,0.2701649
126.442110645314,54.4278091150688,2.081858,0.1766776
125.309862401337,54.4073146234111,4.919604,0.1382304
125.324729032282,54.4665328077282,2.136982,0.1800308
125.752790190022,54.8765805179077,11.71489,0.1168801
125.845221174826,54.9012402988356,2.250357,0.1184072
126.064209833137,55.1178513847841,4.373624,0.1186811
124.698737035243,54.7461561744265,2.551277,0.138009
124.871510014614,54.6291367761849,1.145212,0.3579481
124.789522012369,54.7677486891835,2.159909,0.1186311
124.836680408085,54.7679269352849,2.856846,0.1641515
125.047755399938,54.7193253349199,3.166233,0.1215348
125.05225147279,54.7521321761994,0.4343847,0.2483283
124.745985185969,54.7917214730814,6.006943,0.1400718
124.873559771312,54.8180371992307,1.709248,0.4319221
125.261240360059,54.9149359233738,1.547152,0.3567865
125.511235955516,55.2556185606194,2.361569,0.1849549
125.683882754729,55.4193954699913,4.244619,0.1005487
125.826008354013,55.4701289860487,1.027355,0.100535
124.703064637933,55.2380238135349,10.37728,0.1042546
125.230986997219,54.5174528718781,1.107532,0.1381122
125.25984276635,54.7771653397827,5.669992,0.1174535
125.348776840768,54.7486852113979,12.32003,0.1468666
125.433668674888,54.7235540569788,1.334601,0.3089219
125.751218212972,55.2420166505495,1.593709,0.1782128
125.954883534545,55.1986739456992,2.033945,0.1165488
124.615805376285,54.7966481265431,2.895394,0.1803973
124.568483385837,54.7477728065227,0.9998865,0.1167614
124.615559067663,54.7492681483003,0.9090396,0.1120642
124.680905497131,54.7998657827402,1.25876,0.1385975
