#Table1
ra,dec,deVRad_r,z
185.270016397169,11.7546009048687,29.67725,0.004826369
185.32429213785,11.510386102432,29.67412,0.001119565
185.275061614517,11.5953500347674,29.6761,0.003127718
184.683138374485,12.3858186288478,29.67002,0.0005027044
185.417989213611,11.503144185697,29.66808,0.0008090023
190.75925543688,11.6980461009962,4.092391,0.003688498
189.950070558577,12.9739673361494,12.08148,0.009433304
189.540238493941,13.5809328460694,0.3143624,0.002029296
189.134898812664,13.748390666963,29.66786,0.002906794
190.536093719899,11.7542720194157,24.50045,0.0006855552
190.610433700625,11.7402980308832,29.66746,0.003759269
190.530811810931,11.828149723238,29.66968,0.0003108734
190.414211289504,12.2474930753225,29.67445,0.003092321
190.740708991367,12.2869526728719,29.669,0.005596006
190.480562049374,11.6677208469944,0.4034588,0.002369239
190.781943543566,12.0511922174776,29.67427,0.006724186
189.127580996282,13.6382794905305,29.6708,0.002511213
189.875176801187,12.6808792956537,29.66936,0.002008947
189.574473330116,13.1099013184556,29.66555,0.005723478
189.073963606442,13.5756538899256,29.66515,0.002860079
189.12546644152,13.542569798581,29.67074,0.003562402
189.228514079414,12.5200723985899,29.6779,0.005747533
190.05575106293,12.8747798694803,29.67312,0.00520503
189.342278799575,12.2870320898663,29.67781,0.001462067
188.811209322588,12.2374230076557,22.41348,0.002507375
188.902573152438,12.2585648415307,29.67044,0.004176011
188.939668304925,12.1813930382936,10.45843,0.00264265
188.905204623056,12.3820462064513,4.369684,0.0009418362
188.863422443562,12.750219093304,21.34719,0.002463399
189.894311485902,12.2473057452578,1.432732,0.0001276005
188.971376269825,11.6819160228251,17.80632,0.0003390189
189.678278129668,12.3728259416085,0.4110003,0.0001973596
186.198171261062,14.576315969677,29.5724,0.004153254
187.974384443563,14.306490922111,29.6656,0.001518313
188.281404424399,14.5749450095336,29.67085,0.003142768
186.346491081411,14.8034809463635,29.67314,0.00465058
186.746471851635,14.7823683851018,29.66836,0.006256429
186.395147678456,15.1943888767273,29.08918,0.0001141756
186.666129583986,14.428558998533,0.266152,0.0001177381
186.90651587466,14.4555348400925,14.45872,0.004153254
186.448161982111,14.9518895339102,29.67557,0.001646185
187.413524235292,12.5482380584645,29.67433,0.003641615
187.435740091747,15.024782912517,29.66942,0.004406098
186.233825555342,11.8320701121432,19.11717,0.006149103
186.52214643472,11.8122143698299,29.67197,0.00411457
187.496257608719,12.3486754640159,20.25883,0.006533217
187.347967327233,12.450781723559,29.66189,0.00149446
186.942792710136,11.4350985146111,29.6743,0.004153254
186.006224851591,12.2048001380806,29.67406,0.007680642
186.412179721523,12.3137651562298,29.55869,0.005717606
186.726392939681,11.6639668308065,29.68102,0.007024408
186.883370416371,11.6152283349971,19.09943,0.004598775
186.05203582123,11.529453534711,23.82295,0.00573445
186.320152923799,11.6053492186787,29.67233,0.0005206109
187.180249249034,14.9995196557349,29.66685,0.005566211
187.845652128668,11.4925648346986,19.12318,0.004182466
187.815545787374,12.3318089221447,16.33842,0.00595475
187.983074242142,12.1741207946169,29.67127,0.001284503
186.444686052377,12.6618687472754,29.67274,0.008624043
186.523519513661,12.5596261548504,29.67631,0.008284859
187.369477083229,12.4961775281982,29.67352,1.803844E-05
186.482061148399,12.7697165957619,29.66994,0.002295008
186.532135076534,13.1136203079244,0.8377712,0.0007899793
187.180451539633,11.7550377471361,29.67216,0.0005398089
186.368917475512,12.6365855782979,0.5135515,0.008340374
187.242250645256,12.661741985689,5.587834,0.004720885
186.515941164885,13.1121208956887,29.67518,0.0003845049
186.422049659401,13.0475650182903,15.01946,0.001899721
186.423666029785,12.8105090524984,15.23646,0.001793675
186.805576898151,12.7347767585981,29.66813,0.006309985
187.116914814017,12.8236708768804,29.66689,0.005693547
186.264508625876,13.2446915292097,14.72417,0.003191738
185.969266808024,13.8825139644592,3.587604,0.002155446
186.215106706113,13.1111640604306,29.67558,0.003054866
187.173788485189,12.9159105330885,29.67777,0.001527761
185.99044879437,12.8871171092569,29.66706,0.001835023
187.027201433137,12.8981483000636,29.67381,0.007758464
188.011396691286,11.8900739882171,24.39326,0.003341991
188.023647331971,11.8180268732689,29.67085,0.00297581
187.693281340447,12.0990550524365,16.14716,0.004219448
186.435990886789,13.0221016553996,16.35189,0.002415086
187.885511692071,11.6247090409062,29.67038,0.003475524
187.702523604042,12.0452239769563,5.30685,0.004184757
188.05100550227,12.0615422345281,29.66844,0.003284429
186.527863536211,12.8609824458852,0.7157283,0.004153254
187.061962311257,11.7898315846438,1.445766,0.002209407
187.127385517186,11.9480800182474,1.248755,0.003575602
187.001858878355,11.9497687164727,24.74979,0.007392905
187.07808678015,11.7002914319961,26.72999,0.004924574
186.925417614367,12.0895441934385,13.92516,0.0004864872
187.03588995856,12.0932901291969,29.67252,0.006410731
186.79684974373,12.0381478697185,15.16315,0.000190682
186.696097206147,12.4539779645783,29.67206,0.00470485
188.30837225166,12.8578172547547,29.66902,0.006623867
188.452817632811,12.7800372091219,7.368028,0.003694457
188.417979396134,12.7371000146862,3.076525,0.003924067
188.528079264716,12.741597845233,29.66513,0.005030092
188.608474920917,11.9169612114901,29.66894,0.007503176
188.548056344113,12.0489647744172,18.97073,0.006886645
187.020694119687,13.5781111267213,22.54314,0.0003713897
